SAMPNO,SUBDATE,Lead,Result (Pb),Copper,Result (Cu),ADDRESS,CITY,ZIP CODE,Site_Code,Service Line Material,Sample Location
LG13742,16-Feb-16,Lead,5,Copper,0,CRAPO ST ,FLINT,48503,FS0273,Copper,BATHROOM
LG13743,16-Feb-16,Lead,2,Copper,80,COPEMAN  ,FLINT,48504,FS0334,Unknown,BATHROOM
LG13744,16-Feb-16,Lead,3,Copper,80,CROMWELL AVE ,FLINT,48503,FS0184,Galvanized,KITCHEN
LG13745,16-Feb-16,Lead,1,Copper,80,COMMONWEALTH AVE ,FLINT,48503,FS0181,Copper,KITCHEN
LG13746,16-Feb-16,Lead,0,Copper,0,MIEKIN RD ,FLINT,48503,FS0398,Copper,
LG13747,16-Feb-16,Lead,1,Copper,0,MASON  ,FLINT,48503,FS0113,Galvanized,BATHROOM
LG13748,16-Feb-16,Lead,3,Copper,80,SLOAN  ,FLINT,48503,FS0360,Copper,BATHROOM
LG13749,16-Feb-16,Lead,4,Copper,0,RASKOB  ,FLINT,48504,FS0362,Copper,KITCHEN
LG13750,16-Feb-16,Lead,3,Copper,0,W PATERSON ST,FLINT,48504,FS0340,Galvanized,KITCHEN
LG13751,16-Feb-16,Lead,255,Copper,170,MASON  ,FLINT,48503,FS0380,Copper,BATHROOM
LG13752,16-Feb-16,Lead,3,Copper,0,N CHEVROLET AVE,FLINT,48504,FS0102,Galvanized,KITCHEN
LG13753,16-Feb-16,Lead,3,Copper,130,W HAMILTON ,FLINT,48503,FS0124,Unknown,KITCHEN
LG13754,16-Feb-16,Lead,1,Copper,0,PONTIAC ST ,FLINT,48503,FS0377,Copper,
LG13755,16-Feb-16,Lead,0,Copper,100,SLOAN ST ,FLINT,48504,FS0363,Copper,KITCHEN
LG13756,16-Feb-16,Lead,1,Copper,90,ADAMS  ,FLINT,48505,FS0112,Galvanized,BATHROOM
LG13757,16-Feb-16,Lead,26,Copper,110,SLOAN ST ,FLINT,48504,FS0084,Galvanized,KITCHEN
LG13758,16-Feb-16,Lead,0,Copper,0,BAGLEY ST ,FLINT,48504,FS0101,Galvanized,KITCHEN
LG13759,16-Feb-16,Lead,0,Copper,90,CLEMENT  ,FLINT,48504,FS0355,Copper,KITCHEN
LG13760,16-Feb-16,Lead,0,Copper,140,N CHEVROLET AVENUE,FLINT,48504,FS0367,Copper,KITCHEN
LG13761,16-Feb-16,Lead,53,Copper,130,WELCH BLVD ,FLINT,48504,FS0044,Unknown,KITCHEN
LG13764,16-Feb-16,Lead,3,Copper,0,E AUSTIN ,FLINT,48505,FS0313,Copper,BATHROOM
LG13765,16-Feb-16,Lead,5,Copper,0,MACKIN RD ,FLINT,48504,FS0357,Copper,KITCHEN
LG13766,16-Feb-16,Lead,2,Copper,90,CAMPBELL ST ,FLINT,48507,FS0224,Lead,BATHROOM
LG13818,16-Feb-16,Lead,2,Copper,0,WOLCOTT ST ,FLINT,48504,FS0079,Galvanized,KITCHEN
LG14332,16-Feb-16,Lead,0,Copper,0,CORUNNA RD ,FLINT,48503,FS0257,,KITCHEN
LG15060,17-Feb-16,Lead,2,Copper,110,MARLEY  ,FLINT,48504,FS0088,,KITCHEN
LG16315,21-Feb-16,Lead,0,Copper,0,BAKER  ,FLINT,48505,FS2232,,KITCHEN
LG16316,21-Feb-16,Lead,1,Copper,0,JANICE DR ,FLINT,48504,FS0137,Copper,KITCHEN
LG16317,21-Feb-16,Lead,3,Copper,110,CONCORD ST ,FLINT,48504,FS0052,Copper,KITCHEN
LG16318,21-Feb-16,Lead,7,Copper,0,DAMON  ,FLINT,48505,FS0017,,KITCHEN
LG16551,22-Feb-16,Lead,0,Copper,0,BRANCH RD ,FLINT,48506,FS0351,,KITCHEN
LG17106,23-Feb-16,Lead,9,Copper,60,WINONA  ,FLINT,48504,FS0039,,KITCHEN
LG17310,24-Feb-16,Lead,3,Copper,0,E GENESEE ST,FLINT,48505,FS1964,Lead,KITCHEN
LG17311,24-Feb-16,Lead,0,Copper,0,E DARTMOUTH ,FLINT,48505,FS2004,Galvanized,KITCHEN
LG17312,24-Feb-16,Lead,2,Copper,0,MARVIN  ,FLINT,48505,FS2574,Copper,KITCHEN
LG17313,24-Feb-16,Lead,0,Copper,0,BISHOP  ,FLINT,48505,FS1977,Unknown,KITCHEN
LG17314,24-Feb-16,Lead,71,Copper,80,E RUSSELL ,FLINT,48505,FS2656,Unknown,KITCHEN
LG17315,24-Feb-16,Lead,2,Copper,0,RUSSELL  ,FLINT,48505,FS1994,Unknown,KITCHEN
LG17316,24-Feb-16,Lead,6,Copper,90,COPMAN  ,FLINT,48504,FS0404,Lead,KITCHEN
LG17317,24-Feb-16,Lead,5,Copper,0,E GENESEE ,FLINT,48505,FS2659,Galvanized,KITCHEN
